KIN;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "1.00165975094" 
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.999107241631" 
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.982029378414" 
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.970655083656" 
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.981899023056" 
0, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.990388634615" 
0, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.989541342482" 
0, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.973343109712" 
0, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959923903458" 
0, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.966371975839" 
0, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.966682983279" 
0, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.972722442151" 
0, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.959028458584" 
0, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.942771376091" 
0, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951014826399" 
0, kin, up_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "1.01293086726" 
0, kin, up_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "1.00867314078" 
0, kin, up_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.990715647116" 
0, kin, up_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.981386263855" 
0, kin, up_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.997426070273" 
0, kin, up, 0, -2.4, 2.4, 30, 50, 0, 1, "1.0366365186" 
0, kin, up, 0, -2.4, 2.4, 50, 70, 0, 1, "1.02549204111" 
0, kin, up, 0, -2.4, 2.4, 70, 100, 0, 1, "1.00503029824" 
0, kin, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.998538791221" 
0, kin, up, 0, -2.4, 2.4, 140, 200, 0, 1, "1.01278321971" 
1, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.982661306858" 
1, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97564548254" 
1, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.982995033264" 
1, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.939010620117" 
1, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.960666358471" 
1, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.969079278409" 
1, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.963194910437" 
1, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.971303663217" 
1, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.924335592426" 
1, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.938949622214" 
1, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.949235144211" 
1, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.949996862827" 
1, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.959237324274" 
1, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.911354546624" 
1, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.923312063534" 
1, kin, up_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.996243335307" 
1, kin, up_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.988096054643" 
1, kin, up_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.994686403312" 
1, kin, up_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953685647808" 
1, kin, up_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.982383094728" 
1, kin, up, 0, -2.4, 2.4, 30, 50, 0, 1, "1.01608746951" 
1, kin, up, 0, -2.4, 2.4, 50, 70, 0, 1, "1.00129410225" 
1, kin, up, 0, -2.4, 2.4, 70, 100, 0, 1, "1.00675274225" 
1, kin, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96666669361" 
1, kin, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.998020653408" 
2, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.945062816143" 
2, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.943874359131" 
2, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.956706047058" 
2, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.894186198711" 
2, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.924820423126" 
2, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.926806319505" 
2, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.926958886907" 
2, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.940333347768" 
2, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.873574579135" 
2, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.893540341407" 
2, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.909809736436" 
2, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.915543313556" 
