kin;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.960113942623"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.955383181572"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.953925073147"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.954048633575"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944929122925"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923286437988"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.885722398758"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.957233600795"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.955354520077"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.953905994646"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953953228712"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944740137100"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923267972259"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.883950953960"
0, kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.957233600795"
0, kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954714413345"
0, kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.953829680640"
0, kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953094584941"
0, kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.943984193802"
0, kin, down_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.920516578674"
0, kin, down_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.876865174770"
0, kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958193714738"
0, kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954427798390"
0, kin, down_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.952971148074"
0, kin, down_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953380799531"
0, kin, down_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944551151276"
0, kin, down_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922732466125"
0, kin, down_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.885190965319"
0, kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958193714738"
0, kin, down_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954427798390"
0, kin, down_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.952971148074"
0, kin, down_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953476204395"
0, kin, down_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944551151276"
0, kin, down_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922824794769"
0, kin, down_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.885368109798"
0, kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958193714738"
0, kin, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954523336709"
0, kin, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.953543503118"
0, kin, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953953228712"
0, kin, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944740137100"
0, kin, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922917123413"
0, kin, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.884836676359"
0, kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.952433031082"
0, kin, down_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.951561648846"
0, kin, down_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.951063297928"
0, kin, down_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.952140536308"
0, kin, down_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.943039264679"
0, kin, down_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.919593292236"
0, kin, down_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.868007950783"
0, kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958193714738"
0, kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954427798390"
0, kin, down_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.953161933088"
0, kin, down_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953476204395"
0, kin, down_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944740137100"
0, kin, down_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922824794769"
0, kin, down_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.885633826518"
0, kin, down_isr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.955313372910"
0, kin, down_isr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.952517032027"
0, kin, down_isr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.952017223001"
0, kin, down_isr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953094584941"
0, kin, down_isr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.944267672539"
0, kin, down_isr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923009452057"
0, kin, down_isr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.883950953960"
0, kin, down_fsr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.959537874257"
0, kin, down_fsr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954523336709"
0, kin, down_fsr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.952971148074"
0, kin, down_fsr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.953094584941"
0, kin, down_fsr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.943984193802"
0, kin, down_fsr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.921439865112"
0, kin, down_fsr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.880408064365"
0, kin, down_hdamp, 0, -2.4, 2.4, 30, 50, 0, 1, "0.960132"
0, kin, down_hdamp, 0, -2.4, 2.4, 50, 70, 0, 1, "0.953479"
0, kin, down_hdamp, 0, -2.4, 2.4, 70, 100, 0, 1, "0.949208"
0, kin, down_hdamp, 0, -2.4, 2.4, 100, 140, 0, 1, "0.946082"
0, kin, down_hdamp, 0, -2.4, 2.4, 140, 200, 0, 1, "0.941166"
0, kin, down_hdamp, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923306"
0, kin, down_hdamp, 0, -2.4, 2.4, 300, 600, 0, 1, "0.877337"
0, kin, down_tuneCP5, 0, -2.4, 2.4, 30, 50, 0, 1, "0.965555"
0, kin, down_tuneCP5, 0, -2.4, 2.4, 50, 70, 0, 1, "0.959353"
0, kin, down_tuneCP5, 0, -2.4, 2.4, 70, 100, 0, 1, "0.955103"
0, kin, down_tuneCP5, 0, -2.4, 2.4, 100, 140, 0, 1, "0.956925"
0, kin, down_tuneCP5, 0, -2.4, 2.4, 140, 200, 0, 1, "0.946568"
