DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23736"
2,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2176"
2,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22204"
2,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22204"
2,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22542"
2,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22411"
2,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22643"
2,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22216"
2,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22669"
2,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.24148"
2,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2332"
2,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23581"
2,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23282"
2,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23063"
2,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22905"
2,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2076"
2,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2505"
2,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2197"
2,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2384"
2,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23788"
2,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22345"
2,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2354"
2,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22879"
2,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23414"
2,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22869"
2,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23288"
2,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23048"
2,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23792"
2,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22613"
2,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22856"
2,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22856"
2,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23197"
2,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23166"
2,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23334"
2,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22945"
2,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22981"
2,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22333"
2,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23927"
2,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21617"
2,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23369"
2,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21875"
2,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21806"
2,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.16008"
2,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27604"
2,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20924"
2,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22687"
2,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21871"
2,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21132"
2,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22389"
2,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21493"
2,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21952"
2,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21818"
2,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21946"
2,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21827"
2,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22804"
2,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21115"
2,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2692"
2,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2692"
2,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21984"
