DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90318"
2,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90392"
2,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90255"
2,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90455"
2,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90139"
2,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90572"
2,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.88225"
2,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92486"
2,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.89246"
2,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91464"
2,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.89437"
2,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91273"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.93414"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.87412"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.99416"
2,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.90413"
2,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.96416"
2,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92032"
2,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94797"
2,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.91555"
2,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95274"
2,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92052"
2,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94777"
2,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92183"
2,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94646"
2,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92199"
2,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.9463"
2,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92551"
2,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94277"
2,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92204"
2,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94624"
2,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.92242"
2,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94587"
2,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.91677"
2,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95152"
2,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.90951"
2,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95878"
2,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.9163"
2,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95199"
2,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.95361"
2,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.80816"
2,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.099"
