DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.25869"
1,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27739"
1,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26696"
1,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26696"
1,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26854"
1,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2696"
1,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26454"
1,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27484"
1,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27132"
1,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26873"
1,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.24258"
1,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29813"
1,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27302"
1,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26655"
1,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27839"
1,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.25964"
1,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29714"
1,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26784"
1,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28894"
1,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27947"
1,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27923"
1,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28045"
1,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28133"
1,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28245"
1,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28102"
1,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28214"
1,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28179"
1,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27701"
1,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28555"
1,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27744"
1,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27744"
1,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28187"
1,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28208"
1,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28257"
1,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28123"
1,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28878"
1,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27312"
1,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28145"
1,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29075"
1,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28181"
1,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27931"
1,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26486"
1,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22615"
1,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30357"
1,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.25103"
1,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27869"
