ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070668"
2,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071342"
2,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070397"
2,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071614"
2,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070374"
2,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071637"
2,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.068467"
2,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.073543"
2,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.06638"
2,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.075631"
2,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.067122"
2,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.074889"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069828"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.060843"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.078813"
2,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.066014"
2,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.073642"
2,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069593"
2,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070062"
2,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.067894"
2,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071762"
2,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.067415"
2,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072241"
2,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.067517"
2,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072139"
2,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.067271"
2,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072385"
2,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.06981"
2,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069845"
2,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.067508"
2,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072148"
2,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.06759"
2,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072065"
2,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.06571"
2,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.073946"
2,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.066053"
2,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.073603"
2,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.068733"
2,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070923"
