ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19185"
1,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19676"
1,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19006"
1,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19006"
1,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19443"
1,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19486"
1,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.1931"
1,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19665"
1,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19409"
1,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19183"
1,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19252"
1,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22221"
1,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18749"
1,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19531"
1,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19027"
1,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.16851"
1,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21203"
1,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18072"
1,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19982"
1,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18942"
1,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.1918"
1,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19163"
1,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19388"
1,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19501"
1,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19217"
1,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19328"
1,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.1948"
1,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19225"
1,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19528"
1,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18858"
1,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18858"
1,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19406"
1,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19391"
1,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19403"
1,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.1937"
1,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19666"
1,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19728"
1,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.20246"
1,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.20083"
1,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.20403"
1,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19825"
1,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21007"
1,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.17926"
1,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.24088"
1,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.1983"
1,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22185"
1,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22255"
1,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21506"
1,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21983"
1,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21988"
1,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21838"
