ComCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95634"
0,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1342"
0,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0613"
0,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0613"
0,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0444"
0,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.058"
0,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.015"
0,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0987"
0,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.071"
0,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0451"
0,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96878"
0,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0798"
0,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0527"
0,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0493"
0,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0555"
0,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95069"
0,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1604"
0,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0078"
0,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1033"
0,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0187"
0,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.102"
