cMVAv2;OperatingPoint	 measurementType	 sysType	 jetFlavor	 etaMin	 etaMax	 ptMin	 ptMax	 discrMin	 discrMax	 formula
0,TagCount,central,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.955" 
0,TagCount,up_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.982" 
0,TagCount,down_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.926" 
0,TagCount,up_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.910" 
0,TagCount,down_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.998" 
0,TagCount,up_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"1.065" 
0,TagCount,down_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.867" 
0,TagCount,up_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.959" 
0,TagCount,down_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.954" 
0,TagCount,up_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.966" 
0,TagCount,down_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.951" 
0,TagCount,up_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.953" 
0,TagCount,down_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.956" 
0,TagCount,up_scale2,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.959" 
0,TagCount,down_scale2,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.955" 
0,TagCount,up,0,0.000,2.400,30.000,50.000,0.000,1.000,"1.057" 
0,TagCount,down,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.852" 
0,TagCount,central,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.940" 
0,TagCount,up_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.954" 
0,TagCount,down_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.927" 
0,TagCount,up_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.912" 
0,TagCount,down_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.968" 
0,TagCount,up_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.974" 
0,TagCount,down_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.910" 
0,TagCount,up_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.943" 
0,TagCount,down_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.940" 
0,TagCount,up_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.946" 
0,TagCount,down_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.940" 
0,TagCount,up_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.939" 
0,TagCount,down_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.942" 
0,TagCount,up_scale2,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.927" 
0,TagCount,down_scale2,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.947" 
0,TagCount,up,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.985" 
0,TagCount,down,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.896" 
0,TagCount,central,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.916" 
0,TagCount,up_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.927" 
0,TagCount,down_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.905" 
0,TagCount,up_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.891" 
0,TagCount,down_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.941" 
0,TagCount,up_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.937" 
0,TagCount,down_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.897" 
0,TagCount,up_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.918" 
0,TagCount,down_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.916" 
0,TagCount,up_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.919" 
0,TagCount,down_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.918" 
0,TagCount,up_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.915" 
0,TagCount,down_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.918" 
0,TagCount,up_scale2,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.914" 
0,TagCount,down_scale2,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.918" 
0,TagCount,up,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.950" 
0,TagCount,down,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.882" 
0,TagCount,central,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.924" 
0,TagCount,up_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.937" 
0,TagCount,down_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.911" 
0,TagCount,up_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.898" 
0,TagCount,down_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.949" 
0,TagCount,up_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.941" 
0,TagCount,down_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.907" 
0,TagCount,up_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.925" 
0,TagCount,down_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.924" 
