JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.973879
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.95283
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.994928
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.96901
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.978748
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.985932
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.961826
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.980277
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.967481
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.986464
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.961294
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.974879
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.972879
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965292
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.982466
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.974071
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.973687
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.983013
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.960125
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 1.0059
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.975335
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.990691
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.969095
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.996931
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.980553
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.985473
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.99697
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.969056
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.984448
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.981578
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.974762
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.991264
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.983476
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98255
0, system8, central,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.98305
0, system8, down,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.951965
0, system8, up,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.01414
0, system8, down_statistic,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.974973
0, system8, up_statistic,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.991127
0, system8, up_jetaway,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.0035
0, system8, down_jetaway,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.962596
0, system8, up_mupt,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.981313
