JP;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.4473"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1525"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.7422"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.3294"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.5652"
0,TnPL,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.4644"
0,TnPL,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.5529"
0,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.3865"
0,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.549"
0,TnPL,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.3682"
0,TnPL,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.4793"
0,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.4042"
0,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.5135"
0,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.4644"
0,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.5145"
0,TnPL,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2746"
0,TnPL,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.4277"
0,TnPL,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.248"
0,TnPL,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.3785"
0,TnPL,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2891"
0,TnPL,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.397"
0,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1199"
0,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93585"
0,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.304"
0,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0143"
0,TnPL,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.2256"
0,TnPL,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1455"
0,TnPL,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.2055"
0,TnPL,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99618"
0,TnPL,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.2051"
0,TnPL,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1001"
0,TnPL,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1209"
0,TnPL,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0851"
0,TnPL,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1365"
0,TnPL,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1455"
0,TnPL,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1747"
0,TnPL,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0665"
0,TnPL,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1567"
0,TnPL,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1361"
0,TnPL,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1343"
0,TnPL,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0538"
0,TnPL,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1013"
0,TnPL,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1042"
0,TnPL,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.993"
0,TnPL,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.2153"
0,TnPL,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0329"
