ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.090132"
2,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.083373"
2,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.080161"
2,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.080161"
2,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.08642"
2,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.086"
2,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087539"
2,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.084754"
2,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.090783"
2,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.082738"
2,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.083726"
2,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.09567"
2,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087609"
2,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.082055"
2,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.093929"
2,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.080095"
2,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.10776"
2,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087304"
2,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.10055"
2,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.096074"
2,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.089585"
2,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.095336"
2,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094105"
2,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.095587"
2,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.092396"
2,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094096"
2,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094361"
2,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.097412"
2,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.091419"
2,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094454"
2,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094454"
2,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094266"
2,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.09418"
2,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.095217"
2,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.09272"
2,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.093233"
2,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.090596"
2,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.090776"
2,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.07957"
2,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.097631"
2,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.093231"
2,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076347"
2,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.030722"
2,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.12197"
2,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070896"
2,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.081798"
2,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.078391"
2,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.073668"
2,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.078949"
2,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.075383"
2,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076867"
2,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076519"
2,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.077421"
2,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076038"
2,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.080504"
2,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.073758"
2,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076338"
2,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076338"
2,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.077077"
2,TnPH,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076418"
2,TnPH,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.07661"
2,TnPH,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.07679"
2,TnPH,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.083648"
2,TnPH,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.11261"
2,TnPH,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.091394"
2,TnPH,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.095574"
2,TnPH,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.10965"
2,TnPH,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.10773"
2,TnPL,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071373"
2,TnPL,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.062464"
2,TnPL,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.080281"
2,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.066654"
2,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076092"
2,TnPL,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.072955"
2,TnPL,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070784"
2,TnPL,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.072926"
2,TnPL,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070348"
2,TnPL,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.072162"
2,TnPL,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071627"
2,TnPL,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.072381"
2,TnPL,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071504"
2,TnPL,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.073903"
2,TnPL,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.070548"
2,TnPL,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071059"
2,TnPL,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071059"
2,TnPL,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.072036"
2,TnPL,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071894"
2,TnPL,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.071787"
2,TnPL,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.072135"
2,TnPL,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.07474"
2,TnPL,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.07519"
2,TnPL,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.077085"
2,TnPL,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.076223"
2,TnPL,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.069575"
2,TnPL,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.074851"
2,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069652"
2,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.055307"
2,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.083998"
2,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.061562"
2,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.077743"
2,TnPH,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069483"
2,TnPH,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.068818"
2,TnPH,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070462"
2,TnPH,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.067904"
2,TnPH,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071926"
2,TnPH,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070684"
2,TnPH,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070633"
2,TnPH,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071858"
2,TnPH,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072437"
2,TnPH,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.06998"
2,TnPH,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069324"
2,TnPH,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069324"
2,TnPH,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071272"
2,TnPH,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071114"
2,TnPH,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.071828"
2,TnPH,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070339"
2,TnPH,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.073959"
2,TnPH,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070982"
2,TnPH,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072469"
2,TnPH,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.05852"
2,TnPH,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.062747"
2,TnPH,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.062849"
2,TnPL,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069943"
2,TnPL,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.058347"
2,TnPL,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.081539"
2,TnPL,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.065618"
2,TnPL,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.074268"
2,TnPL,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.070134"
2,TnPL,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.069947"
2,TnPL,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.073605"
2,TnPL,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072634"
2,TnPL,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072941"
2,TnPL,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.072678"
