DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20088"
2,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20104"
2,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20074"
2,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20118"
2,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20048"
2,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20144"
2,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19622"
2,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2057"
2,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19849"
2,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20343"
2,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19892"
2,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.203"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19805"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.18533"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21078"
2,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19169"
2,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20441"
2,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19512"
2,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20098"
2,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19411"
2,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20199"
2,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19516"
2,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20094"
2,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19544"
2,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20066"
2,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19547"
2,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20063"
2,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19622"
2,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19988"
2,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19549"
2,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20062"
2,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19556"
2,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20054"
2,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19437"
2,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20173"
2,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19283"
2,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20327"
2,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19427"
2,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20183"
2,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18037"
2,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.15286"
2,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20788"
2,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.15956"
2,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20117"
2,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17259"
2,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18814"
2,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17883"
2,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18191"
2,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17605"
2,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18468"
2,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17881"
2,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18193"
2,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17536"
2,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18537"
2,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17822"
2,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18251"
2,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17899"
2,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18175"
2,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17891"
2,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18182"
2,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17145"
2,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18929"
2,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17786"
2,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.18288"
2,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.17061"
2,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.19013"
