DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97711"
1,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0477"
1,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0083"
1,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0083"
1,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0143"
1,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0183"
1,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99917"
1,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0381"
1,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0248"
1,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.015"
1,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.91624"
1,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1261"
1,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0312"
1,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0068"
1,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0515"
1,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98068"
1,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1223"
1,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0116"
1,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0914"
1,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0556"
1,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0547"
1,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0593"
1,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0626"
1,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0668"
1,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0614"
1,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0657"
1,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0643"
1,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0463"
