DeepCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.324"
0,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32804"
0,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32452"
0,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32752"
0,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32451"
0,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32753"
0,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32294"
0,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32909"
0,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32062"
0,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.33142"
0,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3216"
0,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.33044"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29869"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2838"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31359"
0,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28959"
0,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3078"
0,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29623"
0,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30116"
0,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29702"
0,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30037"
0,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29741"
0,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29998"
0,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29738"
0,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30001"
0,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29722"
0,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30017"
0,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29787"
0,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29952"
0,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2974"
0,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29999"
0,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29725"
0,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30014"
0,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29477"
0,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30262"
0,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28972"
0,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30767"
0,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2938"
0,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30359"
0,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32235"
0,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2928"
0,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3519"
0,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.30839"
0,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33631"
0,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31452"
0,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33018"
0,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31942"
0,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32527"
0,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31994"
0,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32476"
0,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31977"
0,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32492"
0,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31961"
0,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32508"
0,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32207"
0,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32263"
0,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31976"
0,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32493"
0,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31986"
0,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32484"
0,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3051"
0,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33959"
0,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.30697"
0,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33773"
0,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31559"
0,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3291"
