DeepCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0498"
0,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.86656"
0,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.233"
0,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0108"
0,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0888"
0,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96139"
0,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1382"
0,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0189"
0,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0807"
0,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0166"
0,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.083"
0,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0268"
0,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0728"
0,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95674"
0,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1429"
0,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0104"
0,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0892"
0,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.043"
0,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0566"
0,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0107"
0,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0889"
0,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98968"
0,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1099"
0,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97638"
0,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1232"
0,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0006"
0,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.099"
0,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0386"
0,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.90589"
0,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1713"
0,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.001"
0,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0761"
0,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98713"
0,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.09"
0,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0146"
0,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0625"
0,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0209"
0,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0563"
0,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0215"
0,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0557"
0,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96017"
0,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.117"
0,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0165"
0,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0607"
0,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.024"
0,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0531"
0,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0091"
0,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0681"
0,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0059"
0,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0713"
0,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97955"
0,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0976"
0,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0199"
0,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0573"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2231"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1717"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2745"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1945"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2516"
0,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2088"
