DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0328"
2,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.94678"
2,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96613"
2,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96613"
2,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9808"
2,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9751"
2,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98522"
2,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96661"
2,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98633"
2,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0507"
2,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0146"
2,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.026"
2,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.013"
2,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0035"
2,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99661"
2,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.90328"
2,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0899"
2,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95595"
2,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0373"
2,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.035"
2,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97224"
2,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0243"
2,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9955"
2,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0188"
2,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99505"
2,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0133"
2,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0028"
2,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0352"
2,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9839"
2,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9945"
2,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9945"
2,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0093"
2,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.008"
2,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0153"
2,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99833"
2,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99991"
2,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97173"
2,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0411"
2,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.94055"
2,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0168"
2,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9518"
2,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98043"
2,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.71973"
2,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2411"
2,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94079"
2,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0201"
2,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98337"
2,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95013"
2,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0067"
2,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96638"
2,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98702"
2,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98099"
2,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98674"
2,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98141"
2,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0253"
2,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94937"
2,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2104"
2,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2104"
2,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98846"
2,TnPH,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97969"
2,TnPH,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.99025"
2,TnPH,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97567"
2,TnPH,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0333"
2,TnPH,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0432"
2,TnPH,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0528"
2,TnPH,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96691"
2,TnPH,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0689"
2,TnPH,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0251"
2,TnPL,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90481"
2,TnPL,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.85938"
2,TnPL,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95023"
2,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.87096"
2,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93865"
2,TnPL,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91647"
2,TnPL,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.89689"
2,TnPL,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91274"
2,TnPL,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9059"
2,TnPL,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90616"
2,TnPL,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90127"
2,TnPL,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90307"
2,TnPL,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90555"
2,TnPL,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91649"
2,TnPL,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90072"
2,TnPL,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9084"
2,TnPL,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9084"
2,TnPL,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90362"
2,TnPL,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90434"
2,TnPL,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90591"
2,TnPL,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90187"
2,TnPL,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91571"
2,TnPL,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93345"
2,TnPL,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91928"
2,TnPL,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.8971"
2,TnPL,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.89857"
2,TnPL,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91568"
2,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0124"
2,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.71093"
2,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.314"
2,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95093"
2,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.074"
