kin;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.974326968193"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969109475613"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965408682823"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960395693779"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952049612999"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924853384495"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.925586879253"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.971403987288"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969051329044"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965360412389"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960203614640"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951954408038"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924760899157"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.921884531736"
0, kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.971403987288"
0, kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968237277085"
0, kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965312141955"
0, kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959723416793"
0, kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951097563386"
0, kin, down_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924834887427"
0, kin, down_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.921884531736"
0, kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972378314257"
0, kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968140366137"
0, kin, down_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964443274140"
0, kin, down_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959819456363"
0, kin, down_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951573588193"
0, kin, down_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924390957803"
0, kin, down_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.925309203189"
0, kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972378314257"
0, kin, down_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968140366137"
0, kin, down_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964443274140"
0, kin, down_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959915495932"
0, kin, down_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951573588193"
0, kin, down_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924390957803"
0, kin, down_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.925124085813"
0, kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972378314257"
0, kin, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968237277085"
0, kin, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965022519350"
0, kin, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960203614640"
0, kin, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952011531014"
0, kin, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924298472464"
0, kin, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.923735705494"
0, kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.968481006384"
0, kin, down_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.966202147186"
0, kin, down_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.963477865457"
0, kin, down_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.958474902391"
0, kin, down_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.950145513773"
0, kin, down_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922078824342"
0, kin, down_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.916331010460"
0, kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972378314257"
0, kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968140366137"
0, kin, down_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964539815008"
0, kin, down_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959915495932"
0, kin, down_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951668793154"
0, kin, down_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924575928480"
0, kin, down_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.925216644501"
0, kin, down_isr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.968481006384"
0, kin, down_isr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.966202147186"
0, kin, down_isr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.963477865457"
0, kin, down_isr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959435298085"
0, kin, down_isr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951573588193"
0, kin, down_isr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.922078824342"
0, kin, down_isr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.923735705494"
0, kin, down_fsr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.973839804709"
0, kin, down_fsr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968237277085"
0, kin, down_fsr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964443274140"
0, kin, down_fsr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.959531337655"
0, kin, down_fsr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.951097563386"
0, kin, down_fsr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923003677726"
0, kin, down_fsr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.918182184219"
0, kin, up_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.974814131677"
0, kin, up_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969119166708"
0, kin, up_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965505223691"
0, kin, up_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960424505650"
0, kin, up_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952240022922"
0, kin, up_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924945869833"
0, kin, up_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.927438053012"
0, kin, up_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.979198603034"
0, kin, up_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.972016804040"
0, kin, up_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967339500189"
0, kin, up_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.962316485167"
0, kin, up_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.953953712225"
0, kin, up_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.928552798033"
0, kin, up_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.934842748046"
0, kin, up_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.976275622129"
0, kin, up_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.970078585089"
0, kin, up_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.966277550638"
0, kin, up_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960875891626"
0, kin, up_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952430432844"
0, kin, up_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.925223325849"
0, kin, up_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.926234790068"
0, kin, up_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.976275622129"
0, kin, up_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.970078585089"
0, kin, up_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.966374091506"
0, kin, up_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960875891626"
0, kin, up_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952525637805"
0, kin, up_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.925315811187"
0, kin, up_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.926049672693"
0, kin, up_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.984070237875"
0, kin, up_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969981674141"
0, kin, up_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965698305428"
0, kin, up_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960424505650"
0, kin, up_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952430432844"
0, kin, up_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.925315811187"
0, kin, up_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.927438053012"
0, kin, up_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.980172930002"
0, kin, up_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.972016804040"
0, kin, up_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967339500189"
0, kin, up_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.962316485167"
0, kin, up_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.953953712225"
0, kin, up_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.927627944648"
0, kin, up_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.934842748046"
0, kin, up_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.976275622129"
0, kin, up_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.970078585089"
0, kin, up_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.966374091506"
0, kin, up_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960971931195"
0, kin, up_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952620842767"
0, kin, up_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.925315811187"
0, kin, up_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.927438053012"
0, kin, up_isr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.976275622129"
0, kin, up_isr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969497119403"
0, kin, up_isr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965698305428"
0, kin, up_isr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960779852057"
0, kin, up_isr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.952525637805"
